customer_id,num_sessions,avg_session_dur_min,pages_per_session,cart_add_rate,checkout_rate,num_purchases,total_revenue_usd,avg_order_value,days_since_last_purchase,return_rate,device_type,region,acquisition_channel
CUST00001,33,16.2,11.09,0.5624,0.3919,17,3699.34,217.61,30,0.0593,mobile,International,organic
CUST00002,33,15.87,10.9,0.433,0.3674,18,373.94,20.77,36,0.137,mobile,East,organic
CUST00003,33,15.7,10.81,0.5681,0.3921,17,183.37,10.79,46,0.1663,desktop,West,social
CUST00004,33,16.09,11.05,0.4875,0.4106,16,817.89,51.12,47,0.1482,mobile,East,direct
CUST00005,32,15.58,10.69,0.5646,0.4622,16,692.35,43.27,55,0.1614,mobile,North,social
CUST00006,35,16.6,11.48,0.5608,0.4212,17,10.9,5.0,54,0.0966,mobile,East,social
CUST00007,32,15.81,10.82,0.6069,0.4013,16,243.87,15.24,40,0.0906,desktop,International,social
CUST00008,32,15.75,10.74,0.5887,0.4668,17,150.3,8.84,27,0.0826,desktop,North,email
CUST00009,33,15.96,11.05,0.578,0.3683,18,399.41,22.19,52,0.1051,mobile,West,direct
CUST00010,33,16.09,11.02,0.5707,0.426,16,192.64,12.04,41,0.1093,mobile,North,paid_search
CUST00011,34,16.41,11.22,0.5419,0.3824,17,220.26,12.96,45,0.1217,desktop,South,paid_search
CUST00012,31,15.37,10.58,0.5169,0.409,17,84.25,5.0,34,0.11,tablet,South,email
CUST00013,33,16.16,11.11,0.5448,0.3708,17,606.23,35.66,45,0.1044,mobile,West,direct
CUST00014,32,15.68,10.85,0.5699,0.3986,18,1889.82,104.99,35,0.0772,mobile,East,organic
CUST00015,32,15.63,10.77,0.5054,0.3729,17,85.88,5.05,35,0.1632,desktop,South,social
CUST00016,32,15.76,10.81,0.5427,0.4603,16,43.57,5.0,52,0.1118,desktop,West,email
CUST00017,34,16.26,11.35,0.5416,0.3726,17,250.81,14.75,34,0.1075,desktop,North,paid_search
CUST00018,33,16.26,11.12,0.4736,0.3512,17,236.18,13.89,30,0.0809,desktop,North,paid_search
CUST00019,33,15.99,10.98,0.6106,0.5175,15,1039.28,69.29,35,0.049,desktop,North,social
CUST00020,33,16.06,11.07,0.5237,0.4408,17,53.61,5.0,60,0.1704,mobile,West,organic
CUST00021,33,15.9,10.95,0.6323,0.2795,18,125.91,7.0,48,0.1383,mobile,East,paid_search
CUST00022,32,15.6,10.78,0.437,0.3615,18,17.24,5.0,40,0.0325,desktop,West,direct
CUST00023,32,15.75,10.97,0.5041,0.3098,17,1337.18,78.66,35,0.1543,desktop,East,social
CUST00024,32,15.6,10.78,0.5222,0.344,17,333.44,19.61,55,0.1531,desktop,North,email
CUST00025,33,16.25,11.07,0.5854,0.2408,17,138.05,8.12,45,0.1178,tablet,West,email
CUST00026,31,15.3,10.58,0.5393,0.3837,17,47.79,5.0,50,0.1894,desktop,South,social
CUST00027,33,15.88,11.01,0.546,0.3421,18,53.53,5.0,41,0.124,desktop,International,email
CUST00028,33,16.09,11.0,0.4676,0.3972,16,408.17,25.51,43,0.0416,mobile,South,organic
CUST00029,33,16.09,10.92,0.5004,0.3396,17,62.31,5.0,39,0.1319,mobile,North,social
CUST00030,33,15.99,10.96,0.5253,0.3869,18,278.23,15.46,36,0.1276,desktop,East,social
CUST00031,34,16.29,11.16,0.4445,0.3647,18,3051.41,169.52,54,0.0771,mobile,North,social
CUST00032,34,16.33,11.15,0.528,0.4931,16,159.28,9.96,48,0.1391,mobile,North,organic
CUST00033,33,16.08,11.06,0.5432,0.4603,16,74.62,5.0,42,0.0294,tablet,East,organic
CUST00034,32,15.55,10.64,0.4823,0.4392,16,392.23,24.51,29,0.1678,desktop,North,organic
CUST00035,32,15.68,10.69,0.6009,0.3753,17,53.84,5.0,52,0.064,mobile,North,social
CUST00036,33,16.22,11.07,0.6038,0.508,16,2047.66,127.98,41,0.0639,desktop,South,direct
CUST00037,33,16.23,11.12,0.457,0.3256,16,1385.33,86.58,53,0.1019,mobile,East,direct
CUST00038,34,16.2,11.07,0.4824,0.3279,17,199.78,11.75,39,0.1354,mobile,South,organic
CUST00039,32,15.78,10.84,0.4138,0.3932,17,80.78,5.0,49,0.118,desktop,North,paid_search
CUST00040,35,16.86,11.6,0.4923,0.5127,16,144.62,9.04,38,0.0778,desktop,East,organic
CUST00041,32,15.59,10.76,0.5739,0.3931,18,169.83,9.44,49,0.0841,mobile,West,paid_search
CUST00042,34,16.35,11.35,0.5099,0.3902,18,392.98,21.83,27,0.063,mobile,West,email
CUST00043,33,15.88,11.04,0.5379,0.315,16,883.69,55.23,49,0.0982,mobile,South,direct
CUST00044,33,15.92,10.96,0.4535,0.4459,17,68.02,5.0,36,0.1694,tablet,North,organic
CUST00045,33,16.05,11.01,0.5845,0.4579,17,852.89,50.17,20,0.1225,desktop,East,organic
CUST00046,34,16.34,11.17,0.4857,0.4255,16,524.76,32.8,39,0.1573,mobile,West,organic
CUST00047,33,15.8,10.93,0.5352,0.371,17,130.69,7.69,43,0.185,mobile,East,paid_search
CUST00048,32,15.62,10.82,0.4999,0.3438,17,63.93,5.0,36,0.0863,desktop,North,email
CUST00049,33,16.15,11.0,0.4446,0.3173,17,282.47,16.62,40,0.1046,desktop,North,social
CUST00050,32,15.59,10.69,0.4694,0.4008,17,66.1,5.0,52,0.2168,desktop,International,email
CUST00051,33,16.2,11.18,0.581,0.3469,18,866.45,48.14,33,0.1887,mobile,West,social
CUST00052,32,15.4,10.64,0.5323,0.3263,17,61.06,5.0,39,0.0308,tablet,South,organic
CUST00053,34,16.25,11.14,0.6295,0.4143,17,481.31,28.31,33,0.1361,mobile,South,organic
CUST00054,34,16.42,11.33,0.55,0.3774,17,221.5,13.03,36,0.1154,mobile,West,organic
CUST00055,32,15.59,10.79,0.529,0.3656,17,122.43,7.2,41,0.1541,mobile,North,email
CUST00056,35,16.99,11.77,0.4135,0.3987,17,215.51,12.68,56,0.0692,mobile,East,email
CUST00057,33,15.82,10.86,0.5262,0.4104,17,928.85,54.64,51,0.0665,tablet,West,email
CUST00058,32,15.68,10.84,0.5328,0.3877,17,56.11,5.0,40,0.0795,desktop,South,organic
CUST00059,33,16.01,11.15,0.6139,0.3973,18,147.07,8.17,38,0.0863,desktop,North,email
CUST00060,31,15.07,10.42,0.5619,0.3474,17,96.69,5.69,35,0.1565,mobile,North,organic
CUST00061,32,15.63,10.76,0.6003,0.3991,17,233.29,13.72,35,0.0567,mobile,International,organic
CUST00062,32,15.51,10.68,0.5504,0.399,17,105.04,6.18,48,0.0789,mobile,East,paid_search
CUST00063,35,16.78,11.51,0.4949,0.3241,16,27.55,5.0,35,0.0265,desktop,West,paid_search
CUST00064,35,16.89,11.76,0.5448,0.4556,16,66.47,5.0,47,0.161,desktop,East,email
CUST00065,34,16.61,11.39,0.5273,0.3435,17,1849.9,108.82,35,0.179,mobile,International,social
CUST00066,32,15.57,10.71,0.4772,0.3989,15,331.87,22.12,51,0.0923,mobile,International,organic
CUST00067,33,15.89,10.88,0.4889,0.4401,18,318.08,17.67,54,0.0922,mobile,East,organic
CUST00068,33,15.88,10.92,0.5165,0.4427,18,172.59,9.59,55,0.1298,tablet,South,organic
CUST00069,34,16.52,11.39,0.6054,0.3968,16,229.58,14.35,39,0.188,mobile,East,organic
CUST00070,33,16.1,11.03,0.4129,0.3706,17,143.9,8.46,46,0.1315,mobile,West,organic
CUST00071,33,15.99,11.06,0.5942,0.4493,18,469.11,26.06,52,0.073,mobile,East,social
CUST00072,35,16.95,11.56,0.4518,0.4082,17,277.14,16.3,37,0.0338,mobile,West,organic
CUST00073,33,16.16,11.09,0.448,0.3575,17,57.59,5.0,47,0.0549,mobile,North,email
CUST00074,32,15.66,10.85,0.5955,0.3642,17,334.75,19.69,48,0.1136,desktop,South,paid_search
CUST00075,34,16.41,11.36,0.5657,0.2946,18,11.74,5.0,38,0.0821,tablet,West,paid_search
CUST00076,32,15.63,10.71,0.5802,0.3968,18,407.97,22.67,37,0.1245,mobile,North,paid_search
CUST00077,33,15.99,10.93,0.5666,0.3921,18,42.92,5.0,47,0.0826,mobile,South,social
CUST00078,33,16.3,11.12,0.6253,0.4497,17,217.32,12.78,33,0.0637,desktop,International,paid_search
CUST00079,34,16.39,11.18,0.5639,0.4215,18,55.95,5.0,43,0.0537,desktop,East,organic
CUST00080,34,16.38,11.27,0.513,0.4585,17,245.55,14.44,43,0.1901,mobile,International,direct
CUST00081,33,15.99,11.11,0.5502,0.3664,17,499.83,29.4,26,0.1648,desktop,West,organic
CUST00082,32,15.55,10.71,0.5708,0.4392,18,1565.92,87.0,35,0.202,desktop,West,direct
CUST00083,34,16.29,11.25,0.4945,0.3752,17,36.46,5.0,50,0.1361,mobile,East,organic
CUST00084,33,15.98,11.03,0.4833,0.4268,18,816.37,45.35,44,0.0904,desktop,North,email
CUST00085,32,15.68,10.75,0.5052,0.3187,17,287.72,16.92,47,0.1766,desktop,East,paid_search
CUST00086,32,15.75,10.74,0.4231,0.4093,17,140.24,8.25,47,0.1089,desktop,South,paid_search
CUST00087,33,15.79,10.84,0.535,0.2982,16,625.49,39.09,54,0.1183,mobile,International,organic
CUST00088,32,15.7,10.71,0.4278,0.3794,17,182.84,10.76,30,0.1159,mobile,South,organic
CUST00089,34,16.39,11.27,0.5255,0.4153,17,593.63,34.92,51,0.001,mobile,North,email
CUST00090,33,15.96,10.99,0.5644,0.3659,17,71.84,5.0,50,0.1896,desktop,East,email
CUST00091,33,16.14,11.19,0.5218,0.3586,17,111.96,6.59,39,0.1386,mobile,East,paid_search
CUST00092,34,16.28,11.21,0.6034,0.4331,17,784.85,46.17,42,0.129,mobile,North,paid_search
CUST00093,33,15.97,11.02,0.4415,0.3817,17,1532.57,90.15,37,0.1113,desktop,North,organic
CUST00094,35,16.74,11.39,0.5975,0.3806,18,234.33,13.02,48,0.1178,mobile,West,social
CUST00095,34,16.39,11.27,0.5612,0.399,18,7.82,5.0,49,0.0796,desktop,East,organic
CUST00096,32,15.6,10.78,0.4311,0.5205,16,191.36,11.96,48,0.1414,mobile,North,organic
